,city,latitude_center,longitude_center
0,Ghent,51.0538286,3.7250121
1,Ninove,50.82151105,4.003787390591782
2,Dendermonde,51.0312293,4.098112
3,Zulte,50.9400485,3.475305501634618
4,Sint-Niklaas,51.1646685,4.1395124
5,Kruishoutem,50.9048236,3.5281805
6,Huise,50.8988246,3.5907777
7,Aalst,50.9383226,4.0392147
8,Ronse,50.7526199,3.601447689906585
9,Brakel,50.7979739,3.762778
10,Sint-Laureins,51.2417048,3.5238418
11,Maldegem,51.2088871,3.4452214
12,Temse,51.1253635,4.2133313
13,Zele,51.0730461,4.0424143
14,Velzeke-Ruddershove,50.8824839,3.7825766
15,Kruibeke,51.17625475,4.298036873275151
16,Aalter,51.083894,3.4485192
17,Oudenaarde,50.8433705,3.6041443
18,Lochristi,51.09792835,3.835561373149549
19,Wetteren,50.9983603,3.8731040535437895
20,Sint-Martens-Latem,51.020971,3.6397549
21,Gijzegem,50.9847481,4.0525271
22,Geraardsbergen,50.7715779,3.8827287
23,Merelbeke,50.995756150000005,3.74567419991459
24,Belsele,51.14633,4.08979
25,Wichelen,51.0020843,3.980643809897363
26,Haaltert,50.88739335,3.990430028511701
27,Bazel,51.1471626,4.2972797
28,Lokeren,51.1044488,3.9898689
29,Lebbeke,51.0004013,4.1307711
30,Eeklo,51.1844827,3.5665965
31,Zevergem,50.9786614,3.6943144
32,Deurle,51.0074803,3.6062435
33,Steenhuize,50.8411146,3.8903745
34,Nazareth,50.959802,3.5963218
35,Zwalm,50.8793307,3.719334
36,Bachte-Maria-Leerne,51.0038237,3.5624453
37,Stekene,51.2104744,4.02404125321308
38,Maarkedal,50.7973072,3.642779
39,Beveren,51.21288495,4.249081329859443
40,Nevele,51.0330372,3.5491068
41,Laarne,51.0406809,3.8599035400346695
42,Bellem,51.0889641,3.4911379
43,Drongen,51.0504639,3.6639157
44,De,50.9924205,3.6495958
45,Lembeke,51.1949816,3.6326098
46,Berlare,51.0301606,4.011347029715423
47,Lievegem,51.12471655,3.585219664902312
48,Hamme,51.0881545,4.120284129818323
49,Erpe-Mere,50.9226391,3.9459888
50,Ledeberg,50.8428245,4.0837432
51,Deinze,50.9840526,3.5274017
52,Lovendegem,51.0956807,3.6076129
53,Waarschoot,51.1515304,3.6061712
54,Zottegem,50.869252,3.8103878
55,Kallo,51.2519515,4.27803
56,Zelzate,51.2000036,3.8105002
57,Destelbergen,51.0556204,3.7978887
58,Wannegem-Lede,50.88997495,3.5587910017584514
59,Buggenhout,51.011310050000006,4.192796388661321
60,Sint-Jan-in-Eremo,51.2682182,3.580094
61,Melle,51.00303,3.7988833
62,Massemen,50.9809343,3.8735741
63,Wondelgem,51.0886195,3.7123555
64,Astene,50.9845547,3.5628186
65,Kieldrecht,51.2888268,4.1758418
66,Mater,50.8428971,3.6636488
67,Edelare,50.8345529,3.6227862
68,Zomergem,51.118399,3.5596004
69,Oordegem,50.9574043,3.90209
70,Assenede,51.2275942,3.7532864
71,Sint-Denijs-Westrem,51.0199405,3.6676767
72,Schelderode,50.9698809,3.7131906
73,Kwaremont,50.7765003,3.5242569
74,Waasmunster,51.1097147,4.0842158
75,Eke,50.9569377,3.6418029
76,Lede,50.9698619,3.987875782018607
77,Opdorp,51.0264023,4.220916
78,Dikkelvenne,50.9176673,3.6894495
79,Erpe,50.9333485,3.976602
80,Heusden,51.0327567,5.2797107
81,Denderleeuw,50.88813845,4.062511248890271
82,Gavere,50.9292335,3.6614192
83,Balegem,50.9252028,3.7896135
84,Tielrode,51.1125824,4.1752558
85,Herzele,50.870107,3.89902812063107
86,Nokere,50.8853618,3.5108474
87,Hofstade,50.9912146,4.4938796
88,Lierde,50.8064253,3.8361032273588913
89,Oosterzele,50.9456388,3.8032713
90,Asper,50.9135295,3.6517496
91,Adegem,51.2035291,3.4858471
92,Watervliet,51.2757644,3.6266162
93,Kluisbergen-Ruien,50.7739701,3.4860074
94,Evergem,51.1187231,3.705820038711427
95,Nukerke,50.7965606,3.5954667
96,Sint-Pauwels,51.1929939,4.0958349
97,Moerbeke,51.1742698,3.9446436
98,Erembodegem,50.92009,4.0587947
99,Middelburg,51.2557439,3.4148228
100,Ertvelde,51.1793505,3.7471789
101,Moerzeke,51.0630042,4.1531789
102,Berchem,50.8649231,4.2946734
103,Sint-Martens-Leerne,51.0134905,3.5837978
104,Sint-Lievens-Houtem,50.9204857,3.8589196
105,Steenberge,50.9605511,3.7414043
106,Serskamp,50.9888236,3.9295057
107,Dries,50.8747045,3.3565295
108,Elsegem,50.8247164,3.5366137
109,Wontergem,50.9786839,3.4443004
110,Viane,50.7427788,3.9300263
111,Ophasselt,50.8218582,3.897035
112,Moorsel,50.9477279,4.0983893
113,Wachtebeke,51.1701927,3.8574284
114,Lotenhulle,51.0497022,3.4596784
115,Knesselare,51.1392692,3.412339
116,Melden,50.8155547,3.5655354
117,Nieuwege,50.8979997,3.8253979
118,Semmerzake,50.9431454,3.6635166
119,Wortegem-Petegem,50.8485315,3.5375547
120,Sint-Gillis-bij-Dendermonde,51.0195213,4.1105542
121,Welle,50.9005405,4.0448599
122,Aaigem,50.8894174,3.9366909
123,Kruisem,50.9085536,3.5648916
124,Vurste,50.9459212,3.6845236
125,Bottelare,50.9635195,3.7552702
126,Schorisse,50.8061799,3.6782376
127,Denderhoutem,50.8717796,4.0180839
128,Sint-Gillis-Waas,51.2179895,4.1286101
129,Haasdonk,51.1806482,4.2383861
130,Baarle,51.442616,4.9308932
131,Heurne,50.8830453,3.6279227
132,Sinaai,51.15689,4.04172
133,Elene,50.8907864,3.8078492
134,Kemzeke,51.2065228,4.0771037
135,Melsele,51.2211394,4.2821446
136,Grotenberge,50.872305,3.8333978
137,Lozer,50.9199102,3.5668728
138,Nederename,50.8678376,3.6322868
